Fecha;Servicio;Categoría;Detalle;Observaciones
22-09;CENA;Ensaladas;Mix Lechuga / repollo morado / zanahoria;
;;Ensaladas;Tomate con ciboullete;
;;Fondo;Asado de res al jugo con spaghetti a la mantequilla;Ganso 200 grs.
;;Fondo;Pollo asado al horno con gratín de papas;Pechuga de pollo deshuesada 200 grs.
;;Postres;Fruta Natural;
;;Postres;Jalea de Piña;
;;Postres;Flan de Chocolate;
;;Postres;Panna Cotta con salsa de frambuesa;
23-09;ALMUERZO;Ensaladas;Mix repollo blanco / zanahoria;
;;Ensaladas;Betarraga / zanahoria;
;;Fondo;Escalopa de res con papas salteadas;Posta Negra 180 grs.
;;Fondo;Strogonoff de pollo con puré de papas;Pechuga de pollo 150 grs.
;;Postres;Fruta Natural;
;;Postres;Creme Caramel;
;;Postres;Jalea Roja (frambuesa - guinda);
;;Postres;Leche Asada;
23-09;CENA;Ensaladas;Mix 4 variedades;
;;Ensaladas;Lechuga / choclo;
;;Fondo;Pollo asado con arroz chino;1/4 de Pollo. Pierna entera o media pechuga
;;Fondo;Lasagna Boloñesa;Tártaro Molido 110 grs.
;;Postres;Fruta Natural;
;;Postres;Compota de Duraznos;
;;Postres;Sémola con leche y salsa de caramelo;
;;Postres;Mousse de Manjar;
24-09;ALMUERZO;Ensaladas;Tomate con ciboullete;
;;Ensaladas;Mix repollo blanco / zanahoria;
;;Fondo;Pollo arvejado con arroz pilaf;1/4 de Pollo. Pierna entera o media pechuga
;;Fondo;Carne mechada con tallarines a la mantequilla;Ganso 200 grs. Producto terminado
;;Postres;Fruta Natural;
;;Postres;Flan de vainilla con salsa de caramelo;
;;Postres;Arroz con leche;
;;Postres;Jalea de piña;
24-09;CENA;Ensaladas;Mix 4 variedades;
;;Ensaladas;Lechuga con aceitunas;
;;Fondo;Suprema de pollo grillada con flan de zapallo italiano y zanahoria;Pechuga de pollo 150 grs.
;;Fondo;Asado alemán con puré de papas;Tártaro Molido 150 grs.
;;Postres;Fruta Natural;
;;Postres;Compota de Manzanas;
;;Postres;Leche asada;
;;Postres;Macedonia;
25-09;ALMUERZO;Ensaladas;Mix Lechuga / repollo morado / zanahoria;
;;Ensaladas;Tomate con ciboullete;
;;Fondo;Asado de res al jugo con spaghetti a la mantequilla;Ganso 200 grs. Producto terminado
;;Fondo;Pavo asado al horno con gratín de papas;Pechuga de pavo deshuesada 200 grs. Producto
;;Postres;Fruta Natural;
;;Postres;Jalea de Piña;
;;Postres;Flan de Chocolate;
;;Postres;Panna Cotta con salsa de frambuesa;
25-09;CENA;Ensaladas;Mix 4 variedades;
;;Ensaladas;Lechuga con aceitunas;
;;Fondo;Spaghetti con strogonoff de carne de cerdo;
;;Fondo;Pechuga de pollo a la plancha con puré rústico;Pechuga de pollo deshuesada 200 grs
;;Postres;Fruta Natural;
;;Postres;Macedonia de frutas;
;;Postres;Leche asada;
;;Postres;Macedonia;
26-09;ALMUERZO;Ensaladas;Mix Lechuga / repollo morado / zanahoria;
;;Ensaladas;Tomate con ciboullete;
;;Fondo;Pastel de papas con carne;Tártaro Molido 110 grs.
;;Fondo;Chapsui de pollo con fetuccini;
;;Postres;Fruta Natural;
;;Postres;Helado;
;;Postres;Mousse de frutilla;
;;Postres;Panna Cotta con salsa de frambuesa;
26-09;CENA;Ensaladas;Tomate con ciboullete;
;;Ensaladas;Mix repollo blanco / zanahoria;
;;Fondo;Cerdo al horno con papas rústicas;150gr de lomo de cerdo.
;;Fondo;Milanesa de pollo con arroz árabe;Pechuga de pollo 150 grs.
;;Postres;Fruta Natural;
;;Postres;Flan de vainilla con salsa de caramelo;
;;Postres;Durazno en conserva;
;;Postres;Jalea de piña;
27-09;ALMUERZO;Ensaladas;Mix repollo blanco / zanahoria;
;;Ensaladas;Betarraga / zanahoria;
;;Fondo;Escalopa de res con papas salteadas;Posta Negra 180 grs.
